start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2017-01-01,2017-12-31,695000000.0,0000097476-20-000009,2019,FY,10-K,2020-02-20,CY2017,PaymentsToAcquirePropertyPlantAndEquipment,USD,TXN,97476
2018-01-01,2018-12-31,1131000000.0,0000097476-21-000006,2020,FY,10-K,2021-02-05,CY2018,PaymentsToAcquirePropertyPlantAndEquipment,USD,TXN,97476
2019-01-01,2019-12-31,847000000.0,0000097476-22-000009,2021,FY,10-K,2022-02-04,CY2019,PaymentsToAcquirePropertyPlantAndEquipment,USD,TXN,97476
2020-01-01,2020-12-31,649000000.0,0000097476-23-000007,2022,FY,10-K,2023-02-03,CY2020,PaymentsToAcquirePropertyPlantAndEquipment,USD,TXN,97476
2021-01-01,2021-12-31,2462000000.0,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2021,PaymentsToAcquirePropertyPlantAndEquipment,USD,TXN,97476
2022-01-01,2022-12-31,2797000000.0,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2022,PaymentsToAcquirePropertyPlantAndEquipment,USD,TXN,97476
2023-01-01,2023-12-31,5071000000.0,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2023,PaymentsToAcquirePropertyPlantAndEquipment,USD,TXN,97476
2007-01-01,2007-12-31,0.3,0001140361-10-007923,2009,FY,10-K,2010-02-23,CY2007,CommonStockDividendsPerShareDeclared,USD/shares,TXN,97476
2008-01-01,2008-12-31,0.41,0001140361-11-012312,2010,FY,10-K,2011-02-25,CY2008,CommonStockDividendsPerShareDeclared,USD/shares,TXN,97476
2009-01-01,2009-12-31,0.45,0000097476-12-000010,2011,FY,10-K,2012-02-24,CY2009,CommonStockDividendsPerShareDeclared,USD/shares,TXN,97476
2010-01-01,2010-12-31,0.49,0000097476-13-000009,2012,FY,10-K,2013-02-22,,CommonStockDividendsPerShareDeclared,USD/shares,TXN,97476
2011-01-01,2011-12-31,0.56,0000097476-14-000007,2013,FY,10-K,2014-02-24,CY2011,CommonStockDividendsPerShareDeclared,USD/shares,TXN,97476
2012-01-01,2012-12-31,0.72,0000097476-15-000003,2014,FY,10-K,2015-02-24,CY2012,CommonStockDividendsPerShareDeclared,USD/shares,TXN,97476
2013-01-01,2013-12-31,1.07,0001564590-16-013126,2015,FY,10-K,2016-02-24,CY2013,CommonStockDividendsPerShareDeclared,USD/shares,TXN,97476
2014-01-01,2014-12-31,1.24,0001564590-17-002142,2016,FY,10-K,2017-02-23,CY2014,CommonStockDividendsPerShareDeclared,USD/shares,TXN,97476
2015-01-01,2015-12-31,1.4,0001564590-18-002832,2017,FY,10-K,2018-02-22,CY2015,CommonStockDividendsPerShareDeclared,USD/shares,TXN,97476
2016-01-01,2016-12-31,1.64,0001564590-19-003839,2018,FY,10-K,2019-02-22,CY2016,CommonStockDividendsPerShareDeclared,USD/shares,TXN,97476
2017-01-01,2017-12-31,2.12,0000097476-20-000009,2019,FY,10-K,2020-02-20,CY2017,CommonStockDividendsPerShareDeclared,USD/shares,TXN,97476
2018-01-01,2018-12-31,2.63,0000097476-21-000006,2020,FY,10-K,2021-02-05,CY2018,CommonStockDividendsPerShareDeclared,USD/shares,TXN,97476
2019-01-01,2019-12-31,3.21,0000097476-22-000009,2021,FY,10-K,2022-02-04,CY2019,CommonStockDividendsPerShareDeclared,USD/shares,TXN,97476
2020-01-01,2020-12-31,3.72,0000097476-23-000007,2022,FY,10-K,2023-02-03,CY2020,CommonStockDividendsPerShareDeclared,USD/shares,TXN,97476
2021-01-01,2021-12-31,4.21,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2021,CommonStockDividendsPerShareDeclared,USD/shares,TXN,97476
2022-01-01,2022-12-31,4.69,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2022,CommonStockDividendsPerShareDeclared,USD/shares,TXN,97476
2023-01-01,2023-12-31,5.02,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2023,CommonStockDividendsPerShareDeclared,USD/shares,TXN,97476
2017-01-01,2017-12-31,2.12,0000097476-20-000009,2019,FY,10-K,2020-02-20,CY2017,CommonStockDividendsPerShareCashPaid,USD/shares,TXN,97476
2018-01-01,2018-12-31,2.63,0000097476-21-000006,2020,FY,10-K,2021-02-05,CY2018,CommonStockDividendsPerShareCashPaid,USD/shares,TXN,97476
2019-01-01,2019-12-31,3.21,0000097476-22-000009,2021,FY,10-K,2022-02-04,CY2019,CommonStockDividendsPerShareCashPaid,USD/shares,TXN,97476
2020-01-01,2020-12-31,3.72,0000097476-23-000007,2022,FY,10-K,2023-02-03,CY2020,CommonStockDividendsPerShareCashPaid,USD/shares,TXN,97476
2021-01-01,2021-12-31,4.21,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2021,CommonStockDividendsPerShareCashPaid,USD/shares,TXN,97476
2022-01-01,2022-12-31,4.69,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2022,CommonStockDividendsPerShareCashPaid,USD/shares,TXN,97476
2023-01-01,2023-12-31,5.02,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2023,CommonStockDividendsPerShareCashPaid,USD/shares,TXN,97476
2007-01-01,2007-12-31,1.87,0001140361-10-007923,2009,FY,10-K,2010-02-23,CY2007,EarningsPerShareBasic,USD/shares,TXN,97476
2008-01-01,2008-12-31,1.46,0001140361-11-012312,2010,FY,10-K,2011-02-25,CY2008,EarningsPerShareBasic,USD/shares,TXN,97476
2009-01-01,2009-12-31,1.16,0000097476-12-000010,2011,FY,10-K,2012-02-24,CY2009,EarningsPerShareBasic,USD/shares,TXN,97476
2010-01-01,2010-12-31,2.66,0000097476-13-000009,2012,FY,10-K,2013-02-22,,EarningsPerShareBasic,USD/shares,TXN,97476
2011-01-01,2011-12-31,1.91,0000097476-14-000007,2013,FY,10-K,2014-02-24,CY2011,EarningsPerShareBasic,USD/shares,TXN,97476
2012-01-01,2012-12-31,1.53,0000097476-15-000003,2014,FY,10-K,2015-02-24,CY2012,EarningsPerShareBasic,USD/shares,TXN,97476
2013-01-01,2013-12-31,1.94,0001564590-16-013126,2015,FY,10-K,2016-02-24,CY2013,EarningsPerShareBasic,USD/shares,TXN,97476
2014-01-01,2014-12-31,2.61,0001564590-17-002142,2016,FY,10-K,2017-02-23,CY2014,EarningsPerShareBasic,USD/shares,TXN,97476
2015-01-01,2015-12-31,2.86,0001564590-18-002832,2017,FY,10-K,2018-02-22,CY2015,EarningsPerShareBasic,USD/shares,TXN,97476
2016-01-01,2016-12-31,3.54,0001564590-19-003839,2018,FY,10-K,2019-02-22,CY2016,EarningsPerShareBasic,USD/shares,TXN,97476
2017-01-01,2017-12-31,3.68,0000097476-20-000009,2019,FY,10-K,2020-02-20,CY2017,EarningsPerShareBasic,USD/shares,TXN,97476
2018-01-01,2018-12-31,5.71,0000097476-21-000006,2020,FY,10-K,2021-02-05,CY2018,EarningsPerShareBasic,USD/shares,TXN,97476
2019-01-01,2019-12-31,5.33,0000097476-22-000009,2021,FY,10-K,2022-02-04,CY2019,EarningsPerShareBasic,USD/shares,TXN,97476
2020-01-01,2020-12-31,6.05,0000097476-23-000007,2022,FY,10-K,2023-02-03,CY2020,EarningsPerShareBasic,USD/shares,TXN,97476
2021-01-01,2021-12-31,8.38,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2021,EarningsPerShareBasic,USD/shares,TXN,97476
2022-01-01,2022-12-31,9.51,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2022,EarningsPerShareBasic,USD/shares,TXN,97476
2023-01-01,2023-12-31,7.13,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2023,EarningsPerShareBasic,USD/shares,TXN,97476
2007-01-01,2007-12-31,1417000000.0,0001140361-10-007923,2009,FY,10-K,2010-02-23,CY2007,WeightedAverageNumberOfSharesOutstandingBasic,shares,TXN,97476
2008-01-01,2008-12-31,1308000000.0,0001140361-11-012312,2010,FY,10-K,2011-02-25,CY2008,WeightedAverageNumberOfSharesOutstandingBasic,shares,TXN,97476
2009-01-01,2009-12-31,1260000000.0,0000097476-12-000010,2011,FY,10-K,2012-02-24,CY2009,WeightedAverageNumberOfSharesOutstandingBasic,shares,TXN,97476
2010-01-01,2010-12-31,1199000000.0,0000097476-13-000009,2012,FY,10-K,2013-02-22,,WeightedAverageNumberOfSharesOutstandingBasic,shares,TXN,97476
2011-01-01,2011-12-31,1151000000.0,0000097476-14-000007,2013,FY,10-K,2014-02-24,CY2011,WeightedAverageNumberOfSharesOutstandingBasic,shares,TXN,97476
2012-01-01,2012-12-31,1132000000.0,0000097476-15-000003,2014,FY,10-K,2015-02-24,CY2012,WeightedAverageNumberOfSharesOutstandingBasic,shares,TXN,97476
2013-01-01,2013-12-31,1098000000.0,0001564590-16-013126,2015,FY,10-K,2016-02-24,CY2013,WeightedAverageNumberOfSharesOutstandingBasic,shares,TXN,97476
2014-01-01,2014-12-31,1065000000.0,0001564590-17-002142,2016,FY,10-K,2017-02-23,CY2014,WeightedAverageNumberOfSharesOutstandingBasic,shares,TXN,97476
2015-01-01,2015-12-31,1030000000.0,0001564590-18-002832,2017,FY,10-K,2018-02-22,CY2015,WeightedAverageNumberOfSharesOutstandingBasic,shares,TXN,97476
2016-01-01,2016-12-31,1003000000.0,0001564590-19-003839,2018,FY,10-K,2019-02-22,CY2016,WeightedAverageNumberOfSharesOutstandingBasic,shares,TXN,97476
2017-01-01,2017-12-31,991000000.0,0000097476-20-000009,2019,FY,10-K,2020-02-20,CY2017,WeightedAverageNumberOfSharesOutstandingBasic,shares,TXN,97476
2018-01-01,2018-12-31,970000000.0,0000097476-21-000006,2020,FY,10-K,2021-02-05,CY2018,WeightedAverageNumberOfSharesOutstandingBasic,shares,TXN,97476
2019-01-01,2019-12-31,936000000.0,0000097476-22-000009,2021,FY,10-K,2022-02-04,CY2019,WeightedAverageNumberOfSharesOutstandingBasic,shares,TXN,97476
2020-01-01,2020-12-31,921000000.0,0000097476-23-000007,2022,FY,10-K,2023-02-03,CY2020,WeightedAverageNumberOfSharesOutstandingBasic,shares,TXN,97476
2021-01-01,2021-12-31,923000000.0,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2021,WeightedAverageNumberOfSharesOutstandingBasic,shares,TXN,97476
2022-01-01,2022-12-31,916000000.0,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2022,WeightedAverageNumberOfSharesOutstandingBasic,shares,TXN,97476
2023-01-01,2023-12-31,908000000.0,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2023,WeightedAverageNumberOfSharesOutstandingBasic,shares,TXN,97476
